"id";"line";"country";"code";"localityFR";"localityNL";"created_at";"updated_at"
112;112;"BE";"1380";"Ohain";"Ohain";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
113;113;"BE";"1380";"Plancenoit";"Plancenoit";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
114;114;"BE";"1390";"Archennes";"Archennes";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
115;115;"BE";"1390";"Biez";"Biez";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
116;116;"BE";"1390";"Bossut-Gottechain";"Bossut-Gottechain";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
117;117;"BE";"1390";"GREZ-DOICEAU";"GREZ-DOICEAU";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
118;118;"BE";"1390";"Nethen";"Nethen";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
119;119;"BE";"1400";"Monstreux";"Monstreux";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
120;120;"BE";"1400";"NIVELLES";"NIVELLES";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
121;121;"BE";"1401";"Baulers";"Baulers";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
122;122;"BE";"1402";"Thines";"Thines";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
123;123;"BE";"1404";"Bornival";"Bornival";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
124;124;"BE";"1410";"WATERLOO";"WATERLOO";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
125;125;"BE";"1420";"BRAINE-L'ALLEUD";"BRAINE-L'ALLEUD";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
126;126;"BE";"1421";"Ophain-Bois-Seigneur-Isaac";"Ophain-Bois-Seigneur-Isaac";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
127;127;"BE";"1428";"Lillois-Witterzée";"Lillois-Witterzée";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
128;128;"BE";"1430";"Bierghes";"Bierghes";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
129;129;"BE";"1430";"Quenast";"Quenast";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
130;130;"BE";"1430";"REBECQ";"REBECQ";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
131;131;"BE";"1430";"Rebecq-Rognon";"Rebecq-Rognon";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
132;132;"BE";"1435";"Corbais";"Corbais";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
133;133;"BE";"1435";"Hévillers";"Hévillers";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
